"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37283","t-005: should expand ""Resources"" dropdown when clicked","T-001: Verify Header dropdowns elements","2026-02-16","passed","2026-02-16","","","",""
"","0","TC-03: Verify audio file upload and transcription starts successfully","","2026-02-16","skipped","2026-02-16","","","",""
"","36421","t-001: should expand ""Products"" dropdown when clicked","Header dropdowns","2026-02-14","passed","2026-02-14","","","",""
"","1635","t-004: should expand ""Why Telnyx"" dropdown when clicked","T-001: Verify Header dropdowns elements","2026-02-16","passed","2026-02-16","","","",""
"","110","TC-10: Verify Footer policy links return successful status","","2026-02-16","broken","2026-02-16","","","",""
"","0","TC-09: Verify that the Company section contains correct number of items","","2026-02-16","skipped","2026-02-16","","","",""
"","0","TC-03: Verify audio file upload and transcription starts successfully","","2026-02-16","skipped","2026-02-16","","","",""
"","0","TC-02: Verify clicking Telnyx logo redirects to Home page","","2026-02-16","skipped","2026-02-16","","","",""
"","4352","t-003: should open ""Privacy Policy"" link","T-010: Verify Footer links","2026-02-16","passed","2026-02-16","","","",""
"","35801","Tc-001: should expand Products dropdown when clicked","Header - Products dropdown","2026-02-14","passed","2026-02-14","","","",""
"","0","TC-09: Verify that the Company section contains correct number of items","","2026-02-16","skipped","2026-02-16","","","",""
"","1964","t-005: should open ""Law Enforcement"" link","T-010: Verify Footer links","2026-02-16","broken","2026-02-16","","","",""
"","53955","should navigate to pricing page","Telnyx Smoke Tests","2026-02-16","broken","2026-02-16","","","",""
"","5745","TC-03: Verify audio file upload and transcription starts successfully","Telnyx – Smoke (WebdriverIO)","2026-02-16","broken","2026-02-16","","","",""
"","167","t-009: should open ""Website Terms and Conditions"" link","T-010: Verify Footer links","2026-02-16","broken","2026-02-16","","","",""
"","1","TC-01: Verify Home Page Loads Successfully","","2026-02-16","skipped","2026-02-16","","","",""
"","1724","t-005: should expand ""Resources"" dropdown when clicked","T-001: Verify Header dropdowns elements","2026-02-16","passed","2026-02-16","","","",""
"","36146","t-005: should expand ""Resources"" dropdown when clicked","Header dropdowns","2026-02-14","passed","2026-02-14","","","",""
"","60021","t-006: should open ""Terms and Conditions of Service"" link","T-010: Verify Footer links","2026-02-16","broken","2026-02-16","","","",""
"","0","TC-07: Verify CTA button appears on hover and redirects user","","2026-02-16","skipped","2026-02-16","","","",""
"","2586","TC-04: Verify code snippet updates for ""Send a message"" tab","Telnyx – Smoke (WebdriverIO)","2026-02-16","failed","2026-02-16","","","",""
"","0","TC-02: Verify clicking Telnyx logo redirects to Home page","","2026-02-16","skipped","2026-02-16","","","",""
"","0","TC-10: Verify eSIM pricing calculator flow and monthly cost estimation","","2026-02-16","skipped","2026-02-16","","","",""
"","0","TC-04: Verify code snippet updates for ""Send a message"" tab","","2026-02-16","skipped","2026-02-16","","","",""
"","37944","t-004: should expand ""Why Telnyx"" dropdown when clicked","T-001: Verify Header dropdowns elements","2026-02-16","passed","2026-02-16","","","",""
"","269","t-006: should open ""Data and Privacy"" link","T-010: Verify Footer links","2026-02-16","broken","2026-02-16","","","",""
"","18299","should load homepage correctly","Telnyx Smoke Tests","2026-02-14","broken","2026-02-14","","","",""
"","2914","should load homepage correctly","Telnyx Smoke Tests","2026-02-16","broken","2026-02-16","","","",""
"","0","TC-06: Verify feature accordion expands and displays correct content","","2026-02-16","skipped","2026-02-16","","","",""
"","23922","t-002: should expand ""Solutions"" dropdown when clicked","Header dropdowns","2026-02-14","passed","2026-02-14","","","",""
"","23102","t-004: should expand ""Why Telnyx"" dropdown when clicked","Header dropdowns","2026-02-14","passed","2026-02-14","","","",""
"","2317","t-002: should open ""Report Abuse"" link","T-010: Verify Footer links","2026-02-16","passed","2026-02-16","","","",""
"","1563","t-006: should expand ""Developers"" dropdown when clicked","T-001: Verify Header dropdowns elements","2026-02-16","passed","2026-02-16","","","",""
"","1948","t-003: should expand ""Pricing"" dropdown when clicked","T-001: Verify Header dropdowns elements","2026-02-16","passed","2026-02-16","","","",""
